Entity,Year,Iron and steel production,"Military expenditure (1816-1913, current prices)","Military expenditure (1914-2007, current prices)",Military personnel,"Military expenditure (1830-1913, real prices)","Military expenditure (1914-2007, real prices)"
East Germany,1964,4264,,855508,203,,3813693.529
East Germany,1965,4313,,920701,205,,4031882.614
East Germany,1966,4485,,992002,201,,4224391.252
East Germany,1967,4592,,1148398,201,,4752011.734
East Germany,1968,4695,,2018373,201,,8011854.822
East Germany,1969,4824,,2247866,201,,8506365.376
East Germany,1970,5053,,2523373,202,,9067091.486
East Germany,1971,5350,,2984200,202,,10207858.73
East Germany,1972,5670,,3264900,202,,10703068.9
East Germany,1973,5892,,3691000,202,,11475170.46
East Germany,1974,6165,,4101400,215,,11702566.06
East Germany,1975,6472,,4404000,220,,11500113.52
East Germany,1976,6740,,4881100,220,,12083230.93
East Germany,1977,6850,,5459300,226,,12722312.95
East Germany,1978,6976,,5992200,226,,13050565.37
East Germany,1979,7023,,6277600,228,,12627675.36
East Germany,1980,7308,,7178263,228,,13245334.77
East Germany,1981,7467,,8111249,231,,13689822.35
East Germany,1982,7168,,9161045,234,,14558470.31
East Germany,1983,7219,,9806041,236,,14992843.49
East Germany,1984,7573,,7710689,196,,11383239.99
East Germany,1985,7853,,7981000,242,,11417961.04
East Germany,1986,7967,,8948000,242,,12547118.49
East Germany,1987,8243,,11626000,241,,15896696.28
East Germany,1988,8131,,12770000,242,,16872141.01
East Germany,1989,7824,,13970000,262,,17766785.22
East Germany,1990,5339,,,137,,
Dominica,1978,,,218,,,474.787766
Dominica,1979,,,240,,,482.770818
Egypt,1855,,,,24,,
Egypt,1856,,,,24,,
Egypt,1857,,,,15,,
Egypt,1858,,,,16,,
Egypt,1859,,,,17,,
Egypt,1860,,,,18,,
Egypt,1861,,,,19,,
Egypt,1862,,,,20,,
Egypt,1863,,,,21,,
Egypt,1864,,,,18,,
Egypt,1865,,,,14,,
Egypt,1866,,,,15,,
Egypt,1867,,,,17,,
Egypt,1868,,,,18,,
Egypt,1869,,2103,,19,2122.472222,
Egypt,1870,,35,,20,35.65420561,
Egypt,1871,,30,,22,29.72727273,
Egypt,1872,,,,23,,
Egypt,1873,,24,,24,21.8,
Egypt,1874,,26,,25,24.64347826,
Egypt,1875,,35,,26,34.36936937,
Egypt,1876,,,,26,,
Egypt,1877,,,,26,,
Egypt,1878,,,,21,,
Egypt,1879,,,,15,,
Egypt,1880,,422,,15,450.9607843,
Egypt,1881,,429,,15,458.4411765,
Egypt,1882,,104,,15,109,
Egypt,1937,,,15592,22,,153096.988
Egypt,1938,,,34495,24,,348310.1788
Egypt,1939,,,11914,25,,121347.9428
Egypt,1940,,,14354,50,,144581.6802
Egypt,1941,,,17798,,,167912.2373
Egypt,1942,,,20085,,,175534.7545
Egypt,1943,,,26044,,,217849.1481
Egypt,1944,,,26742,,,218335.2323
Egypt,1945,,,24598,,,195756.0952
Egypt,1946,,,31998,50,,225500.5353
Egypt,1947,,,32672,57,,207564.7851
Egypt,1948,,,35576,64,,214214.6059
Egypt,1949,,,140322,70,,846168.5258
Egypt,1950,,,88724,74,,528407.8807
Egypt,1951,,,94448,77,,525431.163
Egypt,1952,,,100172,81,,547968.2752
Egypt,1953,,,105896,85,,572020.0158
Egypt,1954,4,,134516,88,,719968.3163
Egypt,1955,7,,203206,92,,1069443.402
Egypt,1956,6,,238369,93,,1213178.211
Egypt,1957,13,,224009,95,,1103072.58
Egypt,1958,28,,203906,107,,982227.1965
Egypt,1959,112,,268034,157,,1273161.5
Egypt,1960,136,,291369,160,,1365000.424
Egypt,1961,156,,258229,215,,1196738.699
Egypt,1962,188,,283768,220,,1298924.624
Egypt,1963,194,,252990,135,,1145237.761
Egypt,1964,177,,328887,160,,1466116.3
Egypt,1965,179,,409384,205,,1792751.645
Egypt,1966,207,,459982,215,,1958810.503
Egypt,1967,203,,570377,220,,2360190.628
Egypt,1968,199,,752070,195,,2985313.248
Egypt,1969,304,,975161,230,,3690200.291
Egypt,1970,304,,1209751,255,,4346928.889
Egypt,1971,260,,1494940,315,,5113643.968
Egypt,1972,234,,1954921,390,,6408666.161
Egypt,1973,294,,3194479,390,,9931506.656
Egypt,1974,408,,3910043,410,,11156565.2
Egypt,1975,358,,4168157,400,,10884259.46
Egypt,1976,457,,3996933,400,,9894463.222
Egypt,1977,266,,4715062,350,,10987946.13
Egypt,1978,602,,3322259,447,,7235632.7
Egypt,1979,800,,1714530,447,,3448854.377
Egypt,1980,800,,1522906,447,,2810066.975
Egypt,1981,902,,2100986,447,,3545955.143
Egypt,1982,484,,2494532,447,,3964238.802
Egypt,1983,199,,3043087,447,,4652695.938
Egypt,1984,1153,,3786908,466,,5590587.635
Egypt,1985,954,,4143000,466,,5927153.564
Egypt,1986,1003,,5220000,400,,7319619.863
Egypt,1987,1433,,4570000,450,,6248744.365
Egypt,1988,2025,,5730000,452,,7570663.117
Egypt,1989,2114,,4270000,450,,5430506.29
Egypt,1990,2325,,1570000,434,,1925524.936
Egypt,1991,2541,,1650000,434,,1958239.13
Egypt,1992,2500,,2470000,424,,2866208.02
Egypt,1993,2500,,2070000,424,,2346191.003
Egypt,1994,2622,,2234000,430,,2479228.351
Egypt,1995,2642,,2506000,430,,2724592.937
Egypt,1996,2618,,2742000,430,,2927540.808
Egypt,1997,2717,,2743000,430,,2879429.176
Egypt,1998,2870,,2888000,430,,2998964.24
Egypt,1999,2627,,2988000,430,,3055917.572
Egypt,2000,2838,,4099000,448,,4099000
Egypt,2001,3799,,4318000,443,,4222101.731
Egypt,2002,4316,,3300000,443,,3177763.405
Egypt,2003,4398,,2732000,450,,2579242.333
Egypt,2004,4810,,3589000,459,,3297836.737
Egypt,2005,5603,,3834000,468,,3413047.723
Egypt,2006,6045,,4337000,469,,3745985.972
Egypt,2007,6224,,4640000,469,,3903529.895
Ecuador,1870,,,,2,,
Ecuador,1871,,,,2,,
Ecuador,1872,,,,2,,
Ecuador,1873,,,,2,,
Ecuador,1874,,,,2,,
Ecuador,1875,,,,2,,
Ecuador,1876,,,,1,,
Ecuador,1877,,,,1,,
Ecuador,1878,,,,5,,
Ecuador,1879,,,,5,,
Ecuador,1880,,,,1,,
Ecuador,1881,,,,1,,
Ecuador,1882,,,,1,,
Ecuador,1883,,,,1,,
Ecuador,1884,,,,5,,
Ecuador,1885,,177,,5,198.8969072,
Ecuador,1886,,210,,5,235.9793814,
Ecuador,1887,,196,,5,220.2474227,
Ecuador,1888,,,,5,,
Ecuador,1889,,165,,5,178.0693069,
Ecuador,1890,,149,,3,159.2254902,
Ecuador,1891,,173,,3,188.57,
Ecuador,1892,,,,3,,
Ecuador,1893,,163,,3,177.67,
Ecuador,1894,,,,3,,
Ecuador,1895,,,,3,,
Ecuador,1896,,,,3,,
Ecuador,1897,,187,,3,201.8118812,
Ecuador,1898,,,,3,,
Ecuador,1899,,,,3,,
Ecuador,1900,,173,,3,173,
Ecuador,1901,,,,3,,
Ecuador,1902,,369,,3,379.4433962,
Ecuador,1903,,273,,4,280.7264151,
Ecuador,1904,,,,4,,
Ecuador,1905,,258,,4,267.8285714,
Ecuador,1906,,,,4,,
Ecuador,1907,,270,,4,270,
Ecuador,1908,,226,,4,228.0925926,
Ecuador,1909,,292,,4,294.7037037,
Ecuador,1910,,423,,4,419.1545455,
Ecuador,1911,,,,7,,
Ecuador,1912,,341,,7,326.0438596,
Ecuador,1913,,347,,7,331.7807018,
Ecuador,1914,,,3698,8,,49160.58766
Ecuador,1915,,,3204,8,,41318.98583
Ecuador,1916,,,,8,,
Ecuador,1917,,,,8,,
Ecuador,1918,,,2350,5,,18701.79786
Ecuador,1919,,,,6,,
Ecuador,1920,,,731,5,,4984.31224
Ecuador,1921,,,,6,,
Ecuador,1922,,,,6,,
Ecuador,1923,,,,6,,
Ecuador,1924,,,,6,,
Ecuador,1925,,,1447,6,,11849.483
Ecuador,1926,,,1841,7,,15015.88546
Ecuador,1927,,,1666,7,,13921.3
Ecuador,1928,,,1707,7,,14148.40385
Ecuador,1929,,,1780,6,,14723.65657
Ecuador,1930,,,1820,7,,15622.62055
Ecuador,1931,,,1980,6,,18964
Ecuador,1932,,,1800,5,,19523.44371
Ecuador,1933,,,1432,5,,15954.62313
Ecuador,1934,,,1484,5,,15680.61419
Ecuador,1935,,,1448,8,,14990.73578
Ecuador,1936,,,2248,8,,22982.36205
Ecuador,1937,,,1943,8,,19078.20983
Ecuador,1938,,,1245,8,,12571.2762
Ecuador,1939,,,1914,8,,19494.70896
Ecuador,1941,,,1667,,,15727.03111
Ecuador,1942,,,1667,,,14568.90395
Ecuador,1943,,,2510,,,20995.29111
Ecuador,1944,,,3540,,,28902.35294
Ecuador,1945,,,5074,,,40379.96696
Ecuador,1946,,,4657,12,,32819.42599
Ecuador,1947,,,5111,12,,32470.11559
Ecuador,1948,,,,12,,
Ecuador,1949,,,5933,12,,35777.12592
Ecuador,1950,,,8933,12,,53201.69964
Ecuador,1951,,,5809,12,,32316.50883
Ecuador,1952,,,7459,12,,40802.77288
Ecuador,1953,,,11947,12,,64534.28958
Ecuador,1954,,,16502,12,,88323.44967
Ecuador,1955,,,19472,20,,102478.2828
Ecuador,1956,,,19670,20,,100110.3978
Ecuador,1957,,,19076,18,,93934.67468
Ecuador,1958,,,18614,18,,89664.73294
Ecuador,1959,,,16304,18,,77444
Ecuador,1960,,,22178,18,,103899.1087
Ecuador,1961,,,22178,26,,102781.914
Ecuador,1962,,,18097,24,,82837.52543
Ecuador,1963,,,16887,18,,76444.2471
Ecuador,1964,,,20352,14,,90725.38269
Ecuador,1965,,,23542,14,,103093.8171
Ecuador,1966,,,26568,15,,113138.5086
Ecuador,1967,,,25083,15,,103792.1612
Ecuador,1968,,,28988,16,,115066.763
Ecuador,1969,,,39274,17,,148620.5111
Ecuador,1970,,,42189,16,,151595.3142
Ecuador,1971,,,29680,20,,101524.4444
Ecuador,1972,,,37320,20,,122343.2666
Ecuador,1973,,,50520,20,,157064.6469
Ecuador,1974,,,71600,20,,204297.0035
Ecuador,1975,,,100880,20,,263426.7602
Ecuador,1976,,,102520,24,,253789.6856
Ecuador,1977,,,192520,30,,448647.2055
Ecuador,1978,,,163880,35,,356918.4362
Ecuador,1979,8,,185520,35,,373181.8423
Ecuador,1980,17,,194100,35,,358153.425
Ecuador,1981,28,,247996,34,,418557.1401
Ecuador,1982,28,,229341,36,,364462.1481
Ecuador,1983,23,,215447,39,,329405.43
Ecuador,1984,18,,224021,39,,330720.7444
Ecuador,1985,18,,245850,43,,351723.5587
Ecuador,1986,17,,166150,44,,232979.8545
Ecuador,1987,25,,188000,44,,257059.9432
Ecuador,1988,24,,220000,46,,290671.1843
Ecuador,1989,23,,232000,46,,295053.2691
Ecuador,1990,20,,251380,53,,308304.7506
Ecuador,1991,20,,260920,53,,309662.8812
Ecuador,1992,20,,,57,,
Ecuador,1993,27,,535000,57,,606382.699
Ecuador,1994,32,,560000,57,,621471.7441
Ecuador,1995,35,,530000,58,,576230.7488
Ecuador,1996,20,,625000,58,,667291.395
Ecuador,1997,44,,692000,58,,726418.1515
Ecuador,1998,46,,543000,58,,563863.4289
Ecuador,1999,53,,339000,58,,346705.5077
Ecuador,2000,58,,480000,58,,480000
Ecuador,2001,60,,507000,60,,495740.0597
Ecuador,2002,69,,483000,60,,465109.0075
Ecuador,2003,80,,640000,60,,604214.8951
Ecuador,2004,72,,588000,53,,540297.5763
Ecuador,2005,84,,593000,46,,527891.8361
Ecuador,2006,85,,653000,47,,564014.0281
Ecuador,2007,87,,773000,57,,650307.8899
El Salvador,1875,,,,1,,
El Salvador,1876,,164,,1,164,
El Salvador,1877,,,,1,,
El Salvador,1878,,,,1,,
El Salvador,1879,,,,1,,
El Salvador,1880,,,,1,,
El Salvador,1881,,180,,1,192.3529412,
El Salvador,1882,,187,,1,195.9903846,
El Salvador,1883,,112,,1,120.8712871,
El Salvador,1884,,111,,1,123.4591837,
El Salvador,1885,,123,,1,138.2164948,
El Salvador,1886,,,,2,,
El Salvador,1887,,106,,2,119.1134021,
El Salvador,1888,,116,,2,129.0204082,
El Salvador,1889,,140,,2,151.0891089,
El Salvador,1890,,408,,2,436,
El Salvador,1891,,,,4,,
El Salvador,1892,,248,,4,273.0505051,
El Salvador,1893,,247,,4,269.23,
El Salvador,1894,,396,,4,427.3663366,
El Salvador,1895,,,,4,,
El Salvador,1896,,283,,4,311.5858586,
El Salvador,1897,,,,3,,
El Salvador,1898,,,,3,,
El Salvador,1899,,,,3,,
El Salvador,1900,,153,,4,153,
El Salvador,1901,,163,,3,166.046729,
El Salvador,1902,,180,,3,185.0943396,
El Salvador,1903,,140,,4,143.9622642,
El Salvador,1904,,154,,3,159.8666667,
El Salvador,1905,,177,,3,183.7428571,
El Salvador,1906,,191,,3,194.5700935,
El Salvador,1907,,200,,3,200,
El Salvador,1908,,,,3,,
El Salvador,1909,,255,,3,257.3611111,
El Salvador,1910,,243,,3,240.7909091,
El Salvador,1911,,242,,3,239.8,
El Salvador,1912,,281,,3,268.6754386,
El Salvador,1913,,262,,3,250.5087719,
El Salvador,1914,,,1655,3,,22001.29058
El Salvador,1915,,,,3,,
El Salvador,1916,,,,3,,
El Salvador,1917,,,,3,,
El Salvador,1918,,,,3,,
El Salvador,1919,,,,3,,
El Salvador,1920,,,1529,3,,10425.46295
El Salvador,1921,,,169,4,,1351.504883
El Salvador,1922,,,167,4,,1414.232678
El Salvador,1923,,,137,4,,1128.66499
El Salvador,1924,,,135,4,,1125.779022
El Salvador,1925,,,165,3,,1351.185
El Salvador,1926,,,170,3,,1386.583665
El Salvador,1927,,,199,3,,1662.868367
El Salvador,1928,,,255,3,,2113.557692
El Salvador,1929,,,219,3,,1811.506061
El Salvador,1930,,,156,3,,1339.081761
El Salvador,1931,,,158,3,,1513.288889
El Salvador,1932,,,126,3,,1366.64106
El Salvador,1933,,,115,3,,1281.272109
El Salvador,1934,,,972,3,,10270.59097
El Salvador,1935,,,1640,3,,16978.45765
El Salvador,1936,,,1476,2,,15089.8427
El Salvador,1937,,,1360,2,,13353.76499
El Salvador,1938,,,1440,3,,14540.27127
El Salvador,1939,,,1480,3,,15074.27861
El Salvador,1942,,,1465,,,12803.50587
El Salvador,1943,,,1350,,,11292.28805
El Salvador,1944,,,1462,,,11936.50847
El Salvador,1945,,,1801,,,14332.73955
El Salvador,1946,,,1516,3,,10683.75559
El Salvador,1947,,,1802,3,,11448.08223
El Salvador,1948,,,2362,3,,14222.36618
El Salvador,1949,,,2801,3,,16890.56627
El Salvador,1950,,,3944,3,,23489.02982
El Salvador,1951,,,4741,3,,26375.03329
El Salvador,1952,,,5080,3,,27788.99132
El Salvador,1953,,,6154,3,,33242.15435
El Salvador,1954,,,5800,3,,31043.26797
El Salvador,1955,,,6560,7,,34524.31877
El Salvador,1956,,,6960,7,,35422.89621
El Salvador,1957,,,7680,7,,37818.11185
El Salvador,1958,,,7600,7,,36609.64706
El Salvador,1959,,,6240,7,,29640
El Salvador,1960,,,6120,7,,28670.86957
El Salvador,1961,,,6200,6,,28733.33333
El Salvador,1962,,,8680,6,,39731.98435
El Salvador,1963,,,8520,3,,38568.42454
El Salvador,1964,,,8000,4,,35662.4932
El Salvador,1965,,,9040,4,,39587.46524
El Salvador,1966,,,9200,4,,39177.74311
El Salvador,1967,3,,9480,4,,39227.75139
El Salvador,1968,3,,9240,4,,36677.82841
El Salvador,1969,3,,10480,4,,39658.37338
El Salvador,1970,8,,9960,4,,35788.6968
El Salvador,1971,9,,11960,6,,40910.79365
El Salvador,1972,6,,12520,8,,41043.34668
El Salvador,1973,10,,25060,8,,77910.53151
El Salvador,1974,10,,26040,8,,74300.19512
El Salvador,1975,10,,27880,8,,72802.71684
El Salvador,1976,10,,37920,8,,93871.4873
El Salvador,1977,62,,50000,8,,116519.6357
El Salvador,1978,64,,58800,11,,128062.0213
El Salvador,1979,,,68000,14,,136785.0651
El Salvador,1980,,,72000,16,,132854.4389
El Salvador,1981,,,116000,23,,195779.8846
El Salvador,1982,,,139000,28,,220894.8186
El Salvador,1983,,,158000,32,,241572.4421
El Salvador,1984,,,205000,45,,302640.1659
El Salvador,1985,,,252000,48,,360522.0126
El Salvador,1986,,,160000,48,,224356.1644
El Salvador,1987,,,208180,49,,284652.8669
El Salvador,1988,,,237000,45,,313132.1394
El Salvador,1989,,,139230,45,,177070.1149
El Salvador,1990,16,,143830,55,,176400.1603
El Salvador,1991,19,,141870,60,,168372.9609
El Salvador,1992,28,,175000,49,,203071.4184
El Salvador,1993,37,,100000,49,,113342.5606
El Salvador,1994,24,,132000,30,,146489.7683
El Salvador,1995,28,,145000,22,,157648.0351
El Salvador,1996,41,,149000,22,,159082.2686
El Salvador,1997,45,,176000,15,,184753.7495
El Salvador,1998,43,,163000,15,,169262.8709
El Salvador,1999,34,,171000,15,,174886.849
El Salvador,2000,41,,168000,17,,168000
El Salvador,2001,39,,165000,17,,161335.5224
El Salvador,2002,49,,109000,17,,104962.4882
El Salvador,2003,57,,106000,16,,100073.092
El Salvador,2004,59,,106000,15,,97400.58348
El Salvador,2005,48,,106000,15,,94361.77845
El Salvador,2006,72,,106000,16,,91555.11022
El Salvador,2007,73,,111000,16,,93381.85741
Estonia,1918,,,3541,16,,28180.02818
Estonia,1919,,,3984,16,,30953.48767
Estonia,1920,,,4395,16,,29967.2398
Estonia,1921,,,5392,16,,43120.20313
Estonia,1922,,,4749,16,,40216.71251
Estonia,1923,,,4074,21,,33563.3662
Estonia,1924,,,3693,21,,30796.31059
Estonia,1925,,,4945,19,,40494.605
Estonia,1926,,,5104,18,,41630.13546
Estonia,1927,,,5044,19,,42148.28163
Estonia,1928,,,5192,16,,43033.69231
Estonia,1929,,,4913,15,,40638.94646
Estonia,1930,,,4958,14,,42558.7652
Estonia,1931,,,4379,14,,41941.08889
Estonia,1932,,,3457,12,,37495.85828
Estonia,1933,,,3471,12,,38672.13469
Estonia,1934,,,4766,12,,50359.70839
Estonia,1935,,,4106,12,,42508.26043
Estonia,1936,,,5370,12,,54900.03745
Estonia,1937,,,5825,12,,57195.35372
Estonia,1938,,,5928,12,,59857.45006
Estonia,1939,,,5123,15,,52179.41169
Estonia,1940,,,4832,18,,48670.66175
Estonia,1991,3,,,,,
Estonia,1992,3,,37300,3,,43283.22233
Estonia,1993,3,,77000,5,,87273.77163
Estonia,1994,3,,19900,4,,22084.44234
Estonia,1995,2,,75800,6,,82411.86936
Estonia,1996,3,,110000,6,,117443.2855
Estonia,1997,3,,65000,7,,68232.91886
Estonia,1998,2,,61000,7,,63343.77378
Estonia,1999,1,,71000,7,,72613.83789
Estonia,2000,1,,78000,5,,78000
Estonia,2001,1,,92000,4,,89956.77612
Estonia,2002,1,,99000,6,,95332.90216
Estonia,2003,1,,172000,6,,162382.7531
Estonia,2004,1,,182000,5,,167234.9641
Estonia,2005,1,,205000,4,,182492.1187
Estonia,2006,,,238000,5,,205567.1343
Estonia,2007,,,344000,4,,289399.6302
Eritrea,1993,,,91000,55,,103141.7301
Eritrea,1994,,,41000,55,,45500.60984
Eritrea,1995,,,40000,45,,43489.11312
Eritrea,1996,,,61000,45,,65127.64016
Eritrea,1997,,,196000,55,,205748.4938
Eritrea,1998,,,297000,100,,308411.4887
Eritrea,1999,,,309000,215,,316023.6043
Eritrea,2000,,,196000,200,,196000
Eritrea,2001,,,173000,172,,169157.8507
Eritrea,2002,,,151000,172,,145406.7498
Eritrea,2003,,,279000,202,,263399.9308
Eritrea,2004,,,72000,202,,66158.88689
Eritrea,2005,,,65000,202,,57863.35471
Eritrea,2006,,,,202,,
Eritrea,2007,,,,202,,
Equatorial Guinea,1969,,,3530,1,,13358.21165
Equatorial Guinea,1970,,,3490,1,,12540.41685
Equatorial Guinea,1971,,,1000,1,,3420.634921
Equatorial Guinea,1972,,,1000,2,,3278.222578
Equatorial Guinea,1973,,,1000,2,,3108.959757
Equatorial Guinea,1974,,,1000,5,,2853.310105
Equatorial Guinea,1975,,,1000,5,,2611.288265
Equatorial Guinea,1976,,,3500,5,,8664.29867
Equatorial Guinea,1977,,,,2,,
Equatorial Guinea,1978,,,,2,,
Equatorial Guinea,1979,,,,2,,
Equatorial Guinea,1980,,,2000,2,,3690.401082
Equatorial Guinea,1981,,,2000,2,,3375.515251
Equatorial Guinea,1982,,,6000,2,,9535.028139
Equatorial Guinea,1983,,,,2,,
Equatorial Guinea,1984,,,,3,,
Equatorial Guinea,1985,,,,3,,
Equatorial Guinea,1986,,,,2,,
Equatorial Guinea,1987,,,,2,,
Equatorial Guinea,1988,,,,1,,
Equatorial Guinea,1989,,,,1,,
Equatorial Guinea,1990,,,,1,,
Equatorial Guinea,1991,,,,1,,
Equatorial Guinea,1992,,,,1,,
Equatorial Guinea,1993,,,,1,,
Equatorial Guinea,1994,,,2000,1,,2219.541943
Equatorial Guinea,1995,,,2000,1,,2174.455656
Equatorial Guinea,1996,,,2000,1,,2135.332464
Equatorial Guinea,1997,,,5000,1,,5248.686066
Equatorial Guinea,1998,,,7000,1,,7268.957646
Equatorial Guinea,1999,,,10000,1,,10227.30111
Equatorial Guinea,2000,,,4000,1,,4000
Equatorial Guinea,2001,,,4000,1,,3911.164179
Equatorial Guinea,2002,,,5000,2,,4814.793039
Equatorial Guinea,2003,,,6000,1,,5664.514641
Equatorial Guinea,2004,,,7000,1,,6432.114004
Equatorial Guinea,2005,,,7000,1,,6231.4382
Equatorial Guinea,2006,,,8000,1,,6909.819639
Equatorial Guinea,2007,,,8000,1,,6730.223957
Finland,1919,,,7642,38,,59374.13472
Finland,1920,6,,6455,39,,44013.31807
Finland,1921,15,,9655,35,,77211.71387
Finland,1922,24,,7913,30,,67010.91727
Finland,1923,25,,11947,29,,98424.53018
Finland,1924,29,,12605,31,,105114.4043
Finland,1925,29,,15496,32,,126896.744
Finland,1926,28,,15349,29,,125192.1922
Finland,1927,12,,15155,30,,126637.0357
Finland,1928,30,,15044,30,,124691.6154
Finland,1929,26,,16123,29,,133364.896
Finland,1930,28,,16740,27,,143693.7736
Finland,1931,18,,17806,31,,170541.9111
Finland,1932,35,,9577,29,,103875.5669
Finland,1933,36,,9545,32,,106345.585
Finland,1934,38,,17440,31,,184278.9161
Finland,1935,45,,18427,31,,190769.536
Finland,1936,42,,19786,31,,202281.5905
Finland,1937,48,,22179,31,,217774.3777
Finland,1938,76,,27391,36,,276578.1739
Finland,1939,77,,68491,37,,697602.9838
Finland,1940,77,,89744,300,,903952.7872
Finland,1941,62,,93832,,,885242.2212
Finland,1942,84,,99871,,,872832.0374
Finland,1943,97,,100407,350,,839870.1971
Finland,1944,93,,105498,350,,861339.1047
Finland,1945,86,,105978,32,,843395.3761
Finland,1946,89,,106038,42,,747285.0103
Finland,1947,77,,106321,42,,675455.9108
Finland,1948,103,,107012,42,,644353.8735
Finland,1949,111,,107353,42,,647359.1436
Finland,1950,102,,42857,42,,255240.7076
Finland,1951,127,,65368,42,,363653.9076
Finland,1952,147,,46320,42,,253383.0862
Finland,1953,147,,52381,42,,282947.2355
Finland,1954,175,,63537,42,,340068.2961
Finland,1955,177,,70563,42,,371362.7294
Finland,1956,194,,73913,42,,376179.9608
Finland,1957,204,,80000,42,,393938.6651
Finland,1958,186,,64375,42,,310098.1618
Finland,1959,232,,76875,42,,365156.25
Finland,1960,254,,83438,42,,390888.8913
Finland,1961,277,,98125,48,,454751.3441
Finland,1962,304,,143302,47,,655953.09
Finland,1963,326,,118944,35,,538436.9353
Finland,1964,371,,129503,40,,577299.982
Finland,1965,359,,138509,40,,606550.9096
Finland,1966,347,,141615,40,,603060.4446
Finland,1967,411,,146273,40,,605270.1349
Finland,1968,729,,140238,40,,556669.4048
Finland,1969,967,,130714,40,,494647.3872
Finland,1970,1167,,139524,40,,501343.5875
Finland,1971,1025,,165380,40,,565704.6032
Finland,1972,1456,,204279,40,,669672.03
Finland,1973,1615,,250183,40,,777808.8789
Finland,1974,1656,,304203,40,,867985.4937
Finland,1975,1618,,395520,40,,1032816.735
Finland,1976,1644,,438619,36,,1085807.434
Finland,1977,2196,,438527,40,,1021940.126
Finland,1978,2333,,484749,40,,1055747.224
Finland,1979,2463,,537319,36,,1080841.388
Finland,1980,2509,,700249,36,,1292099.833
Finland,1981,2427,,676814,36,,1142297.99
Finland,1982,2414,,786041,36,,1249153.842
Finland,1983,2416,,785496,40,,1200975.867
Finland,1984,2632,,784212,40,,1157727.072
Finland,1985,2518,,757192,40,,1083271.364
Finland,1986,2586,,1020000,37,,1430270.548
Finland,1987,2669,,1290000,37,,1763868.759
Finland,1988,2796,,1520000,40,,2008273.637
Finland,1989,2899,,1570000,39,,1996696.692
Finland,1990,2840,,1940000,31,,2379311.068
Finland,1991,2873,,2200000,32,,2610985.507
Finland,1992,3062,,2300000,33,,2668938.642
Finland,1993,3239,,2100000,31,,2380193.772
Finland,1994,3420,,1998000,35,,2217322.401
Finland,1995,3176,,2385000,32,,2593038.37
Finland,1996,3301,,2255000,35,,2407587.353
Finland,1997,3734,,1956000,35,,2053285.989
Finland,1998,3952,,1929000,35,,2003117.043
Finland,1999,3956,,1644000,35,,1681368.303
Finland,2000,4096,,1560000,32,,1560000
Finland,2001,3938,,1432000,32,,1400196.776
Finland,2002,4003,,1847000,32,,1778584.548
Finland,2003,4766,,2300000,27,,2171397.279
Finland,2004,4832,,2515000,27,,2310966.674
Finland,2005,4738,,2758000,28,,2455186.651
Finland,2006,5054,,2750000,28,,2375250.501
Finland,2007,4431,,3151000,29,,2650866.961
Ethiopia,1898,,,,150,,
Ethiopia,1899,,,,150,,
Ethiopia,1900,,,,150,,
Ethiopia,1901,,,,150,,
Ethiopia,1902,,,,150,,
Ethiopia,1903,,,,150,,
Ethiopia,1904,,,,150,,
Ethiopia,1905,,,,150,,
Ethiopia,1906,,,,150,,
Ethiopia,1907,,,,150,,
Ethiopia,1908,,,,150,,
Ethiopia,1909,,,,150,,
Ethiopia,1910,,,,150,,
Ethiopia,1911,,,,150,,
Ethiopia,1912,,,,150,,
Ethiopia,1913,,,,150,,
Ethiopia,1914,,,,250,,
Ethiopia,1915,,,,250,,
Ethiopia,1916,,,,250,,
Ethiopia,1917,,,,250,,
Ethiopia,1918,,,,250,,
Ethiopia,1919,,,,100,,
Ethiopia,1920,,,,100,,
Ethiopia,1921,,,,100,,
Ethiopia,1922,,,,100,,
Ethiopia,1923,,,,100,,
Ethiopia,1924,,,,100,,
Ethiopia,1925,,,,100,,
Ethiopia,1926,,,,100,,
Ethiopia,1927,,,,100,,
Ethiopia,1928,,,,100,,
Ethiopia,1929,,,,100,,
Ethiopia,1930,,,,100,,
Ethiopia,1931,,,,100,,
Ethiopia,1932,,,,100,,
Ethiopia,1933,,,,100,,
Ethiopia,1934,,,,100,,
Ethiopia,1935,,,,100,,
Ethiopia,1936,,,,500,,
Ethiopia,1946,,,,10,,
Ethiopia,1947,,,,10,,
Ethiopia,1948,,,,10,,
Ethiopia,1949,,,,10,,
Ethiopia,1950,,,,20,,
Ethiopia,1951,,,,20,,
Ethiopia,1952,,,,20,,
Ethiopia,1953,,,,20,,
Ethiopia,1954,,,,20,,
Ethiopia,1955,,,,24,,
Ethiopia,1956,,,,28,,
Ethiopia,1957,,,,32,,
Ethiopia,1958,,,,36,,
Ethiopia,1959,,,10709,29,,50867.75
Ethiopia,1960,,,15016,29,,70346.69565
Ethiopia,1961,,,18156,27,,84142.32258
Ethiopia,1962,,,19807,30,,90664.90945
Ethiopia,1963,,,21900,55,,99137.1476
Ethiopia,1964,,,24480,60,,109127.2292
Ethiopia,1965,,,33520,60,,146788.9198
Ethiopia,1966,,,40520,40,,172552.4077
Ethiopia,1967,,,42120,45,,174290.3891
Ethiopia,1968,,,40440,45,,160525.0412
Ethiopia,1969,,,37400,45,,141528.9279
